security,lob_v_mean,lob_v_std,lob_p_mean,lob_p_std,vol_mean,vol_std,vol2_mean,vol2_std,vol5_mean,vol5_std,vol10_mean,vol10_std,vol20_mean,vol20_std,vol30_mean,vol30_std,vol60_mean,vol60_std
A,96.32630598290598,114.44140510375712,149.99261285225876,13.314798457446457,7.3706587301587305,51.12436601807837,14.741317460317461,74.96354374244504,36.85329365079365,124.0429711221773,73.7065873015873,187.06112327748207,147.4131746031746,287.6313680350456,221.1197619047619,377.2071908066975,442.2395238095238,613.1566309925843
AAL,6256.625806227106,6829.505795944066,18.29911892338217,1.8154502093157054,207.30567216117217,1622.560432585788,414.61134432234434,2385.3065355461995,1036.5283608058608,3999.3794393060093,2073.0567216117215,6032.999739605242,4146.113443223443,9444.795747526943,6219.1701648351645,12433.077654854744,12438.340329670329,20497.562306637068
AAP,64.87603476800977,71.59900103106814,221.86862908791213,13.446607612263223,3.0213467643467644,27.386024913356234,6.042693528693529,39.73213475983845,15.106733821733823,64.68854565835538,30.213467643467645,94.72306221725665,60.42693528693529,139.59947918343977,90.64040293040293,177.2893894024948,181.28080586080586,273.09156271159134
AAPL,779.762331013431,2182.588707958767,161.61682274267397,11.686443109036858,471.6742197802198,1730.9757579045781,943.3484395604396,2751.6657093270933,2358.371098901099,5155.542410615784,4716.742197802198,8685.782662098354,9433.484395604395,15066.422955878477,14150.226593406593,21141.72968370682,28300.453186813185,37943.89523172259
ABBV,137.12871251526252,189.83723333298735,129.05396370970703,16.856840843604438,31.2454242979243,139.04167868082445,62.4908485958486,206.5675126680819,156.22712148962148,361.0800965399424,312.45424297924296,579.2539193245179,624.9084859584859,973.264598908451,937.3627289377289,1352.455247275092,1874.7254578754578,2451.901290202704
ABC,90.68064526862027,117.75760551516073,131.235244765873,10.603310105939567,3.8960018315018314,34.05836979544555,7.792003663003663,49.24739557311665,19.48000915750916,80.68706278187487,38.96001831501832,118.86883309787703,77.92003663003663,178.81379081762023,116.88005494505495,229.06635919215657,233.7601098901099,366.24678762969677
ABMD,48.02640995115995,73.87571455566659,327.0011702728937,25.01093601499199,2.2502982295482297,31.924176404971256,4.500596459096459,47.74962779401732,11.251491147741147,84.54004860681074,22.502982295482294,124.63553759519455,45.00596459096459,196.85269551421547,67.50894688644689,256.33086854500664,135.01789377289379,402.9501453342185
ABT,140.68889505494505,201.19006388674728,126.20449639621486,6.537117273444733,23.090936507936508,104.14482857282744,46.181873015873016,152.55699304631796,115.45468253968254,258.1273153240727,230.90936507936507,395.5424182747838,461.81873015873015,631.2760872629628,692.7280952380952,842.3449607707834,1385.4561904761904,1449.5257609544128
ACN,63.80709713064713,66.6933509624293,350.01694981257634,26.559868007888717,6.755072649572649,41.94991063943408,13.510145299145298,60.888978631659825,33.77536324786325,100.99603303958894,67.5507264957265,150.53485219292884,135.101452991453,230.16964012654677,202.6521794871795,299.67485116398785,405.304358974359,490.1009831683784
ADBE,61.8557608974359,114.07945806380995,564.3290827713673,83.83173086941842,20.536789682539684,109.82395013752071,41.07357936507937,163.8480018791095,102.68394841269841,283.48800697862055,205.36789682539683,445.3340204988931,410.73579365079365,732.3871331154055,616.1036904761904,1004.7613111800513,1232.2073809523808,1789.184197590872
ADI,104.72250659340659,182.41559166823717,169.5916995775336,9.83163640176862,33.2800699023199,173.76257212475727,66.5601398046398,269.0554519009264,166.4003495115995,500.705842588621,332.800699023199,817.3772780009899,665.601398046398,1421.4775553892707,998.4020970695971,1992.4080093878592,1996.8041941391941,3630.5725057916484
ADM,192.13261413308913,274.6064598048901,69.95414638522591,8.404994166238422,12.306845543345544,83.2817663690486,24.613691086691087,120.87542120052852,61.53422771672771,199.90400003086808,123.06845543345543,298.0863963127519,246.13691086691085,456.4722448197958,369.2053663003663,595.9161406516454,738.4107326007326,974.23299231415
ADP,89.50507039072039,149.36131102507352,218.1298146169108,14.669379644496905,11.706386141636141,83.43940763596589,23.412772283272282,126.99870787847745,58.53193070818071,225.99471130091834,117.06386141636142,359.22469251135254,234.12772283272284,601.7754621984983,351.19158424908426,823.1600317688552,702.3831684981685,1475.1305991647514
ADSK,78.26550677655678,117.31300389197665,264.4273884688645,37.3406329758141,12.960340354090354,83.01019894496663,25.920680708180708,123.2216523196769,64.80170177045177,211.7703154662422,129.60340354090354,330.10696562198166,259.2068070818071,534.9522037087136,388.8102106227106,729.1951481467255,777.6204212454212,1284.7315557762054
AEE,122.04795885225886,133.9729736607319,86.27855674664215,2.3904183806248365,4.827401098901099,43.579412358776835,9.654802197802198,63.733319728424334,24.137005494505495,109.9929332531691,48.27401098901099,163.1827424304893,96.54802197802198,252.92942915170642,144.82203296703295,331.84410710900573,289.6440659340659,536.9998256624393
AEP,267.95921694139196,262.3348220864729,87.80502592521366,4.420711593333798,28.790193833943835,159.09371400265252,57.58038766788767,244.19765622760104,143.95096916971917,446.16701779540375,287.90193833943835,732.4200026967677,575.8038766788767,1251.575243917703,863.705815018315,1740.736035165497,1727.41163003663,3134.9966513048435
AES,933.8008254884005,589.2188751319138,23.54946507142857,1.238323909283447,19.82956501831502,178.03284374924553,39.65913003663004,258.2680450831788,99.14782509157509,425.7804841569786,198.29565018315017,639.5011017302223,396.59130036630035,961.7777074134282,594.8869505494506,1244.0450671929057,1189.7739010989012,1961.9956034096256
