security,mean_vol,std_vol,mean_vol5,std_vol5,mean_vol10,std_vol10,mean_vol20,std_vol20,mean_vol60,std_vol60
CHRW,11.15314067535379,87.24915341696597,55.765703376768954,212.1398730005603,111.53140675353791,317.6347118968425,223.06281350707582,494.2412000937114,669.1884405212274,1076.114953837304
EQIX,2.9119265797954323,33.201345938357235,14.559632898977162,80.44733309453461,29.119265797954323,120.61866890008744,58.23853159590865,185.68343627504643,174.71559478772593,393.3545999042594
BKNG,1.764473167997758,22.687333520778676,8.822365839988791,54.69190129090576,17.644731679977582,80.56121137443017,35.289463359955164,122.53225148852538,105.86839007986549,249.90309336022736
MU,126.37849306431274,707.5165315760349,631.8924653215637,1911.8084607634219,1263.7849306431274,3099.0207750091854,2527.5698612862548,5278.290960141884,7582.709583858764,12799.128537767452
KHC,50.91167997758162,386.77402085145076,254.55839988790808,983.4257338594224,509.11679977581616,1514.6680065904059,1018.2335995516323,2428.431934406487,3054.700798654897,5540.073290268861
STX,21.160017514361776,154.3212214829824,105.80008757180889,380.1225265202395,211.60017514361778,573.8379043749003,423.20035028723555,893.6370165110923,1269.6010508617067,1956.5210752907578
ADBE,17.019590163934428,96.4542100254733,85.09795081967214,247.25280793117145,170.19590163934427,385.2494445931829,340.39180327868854,631.5301829390885,1021.1754098360656,1536.015108758496
AAPL,400.54711923777495,1694.0129283785996,2002.735596188875,4891.676573803522,4005.47119237775,8132.2965133208145,8010.9423847555,13877.363535117956,24032.8271542665,34332.24356985024
EXC,43.07990752416982,281.164075178362,215.3995376208491,743.7902301750942,430.7990752416982,1177.7661262728973,861.5981504833964,1956.739347534622,2584.794451450189,4662.190209657289
ETSY,15.975694969875297,101.84414689937363,79.87847484937649,249.49091750390377,159.75694969875298,381.1543959871473,319.51389939750595,606.3491971595739,958.5416981925179,1408.4052791261856
GILD,55.55901008827238,324.1701734283463,277.7950504413619,890.3511670561105,555.5901008827238,1430.951754745597,1111.1802017654477,2403.0121851586205,3333.540605296343,5824.931085017111
TTWO,10.195841389939751,79.7349159703356,50.97920694969875,196.95991679079734,101.9584138993975,299.6923400371278,203.916827798795,472.76101962517237,611.750483396385,1058.3359562716903
PENN,38.18713955443464,254.6536447868423,190.93569777217317,647.5075134326045,381.87139554434634,1004.6871859586905,763.7427910886927,1618.900665338827,2291.228373266078,3794.3580318999016
HON,16.798747372845735,105.65591857799195,83.99373686422867,304.399886306233,167.98747372845733,488.8882594274382,335.97494745691466,830.2953598595262,1007.924842370744,2098.097220763885
MSFT,181.84093736864227,641.975544865686,909.2046868432114,1906.331652546755,1818.409373686423,3240.226404563102,3636.818747372846,5703.346590892564,10910.456242118536,14584.40863152543
AAL,173.30179136892252,1582.7096287234795,866.5089568446126,3893.6968818593514,1733.0179136892252,5835.0441098312685,3466.0358273784504,9031.07179478143,10398.10748213535,19063.86666666141
EXPE,17.741679277007147,130.23662299505864,88.70839638503573,323.89906086911816,177.41679277007145,504.2293140845776,354.8335855401429,802.9657729402902,1064.5007566204288,1856.607615376269
CDW,5.907896875437859,53.99888831560088,29.539484377189297,134.53003900990691,59.07896875437859,207.2308539553193,118.15793750875719,333.56384126862906,354.47381252627156,772.5880430649271
NFLX,20.939459156508338,145.53396124544219,104.69729578254169,361.47761564018384,209.39459156508337,549.6778828410128,418.78918313016675,875.8939969892132,1256.3675493905002,2025.973376862515
ALGN,4.215441361916771,40.9200689008672,21.07720680958386,98.375643345309,42.15441361916772,146.54340887582626,84.30882723833544,223.01231406711315,252.9264817150063,469.45165406355346
APA,77.45225234692448,446.98845651497805,387.2612617346224,1143.284643359599,774.5225234692448,1763.1750783432597,1549.0450469384896,2826.374905712033,4647.135140815469,6476.091146106789
LRCX,8.985963990472188,75.97880587364091,44.92981995236094,197.9881228626385,89.85963990472187,299.39967646364784,179.71927980944375,461.183152668269,539.1578394283313,997.0424308124469
DISH,20.19062421185372,204.14208659154875,100.9531210592686,505.6929349487906,201.9062421185372,769.3304936167309,403.8124842370744,1215.3286892159642,1211.4374527112232,2759.8532197175705
SNPS,5.204131287655878,49.11550368979915,26.02065643827939,125.09295113726158,52.04131287655878,190.56545889753508,104.08262575311755,302.24445898184956,312.24787725935266,635.4611010110565
